model,date,mean_alpha,mean_abs_alpha,std_alpha,frac_sig_5pct,mean_t_alpha,se_mean_alpha,ci_low,ci_high
Carhart,1943-12-01,-0.0012712154975804881,0.002855793809255469,0.004143736491373894,0.08,-0.16192357885809414,0.0008287472982747788,-0.0028955602021990545,0.0003531292070380783
Carhart,1944-01-01,-0.0013502028015796718,0.0028530574494902167,0.004384582061557399,0.08,-0.16420864312731834,0.0008769164123114797,-0.003068958969710172,0.0003685533665508285
Carhart,1944-02-01,-0.0010890782906651775,0.0025643245008717492,0.004049140795451751,0.04,-0.12463825304448324,0.0008098281590903502,-0.002676341482482264,0.000498184901151909
Carhart,1944-03-01,-0.000779200291160705,0.0024559976398233203,0.0038323889056078187,0.0,-0.00515579979036609,0.0007664777811215637,-0.0022814967421589697,0.0007230961598375597
Carhart,1944-04-01,-0.0006555294992533311,0.002522748167066895,0.0037392761541965923,0.0,0.03468797030676735,0.0007478552308393184,-0.0021213257516983952,0.000810266753191733
Carhart,1944-05-01,-0.0006368436982704369,0.002439694155412448,0.0035876385962681574,0.0,0.02218081101015863,0.0007175277192536315,-0.0020431980280075546,0.0007695106314666808
Carhart,1944-06-01,-0.0003119314529314382,0.0024299573892068837,0.0034398382941843455,0.04,0.13224614851285424,0.0006879676588368691,-0.0016603480642517015,0.0010364851583888252
Carhart,1944-07-01,-0.0005633526667733667,0.0024609139808249854,0.003523380750462045,0.0,0.05096504712978969,0.000704676150092409,-0.0019445179209544882,0.0008178125874077549
Carhart,1944-08-01,-0.00040668615277641117,0.002510456322846312,0.003638788254832092,0.04,0.12774190294252472,0.0007277576509664185,-0.0018330911486705913,0.001019718843117769
Carhart,1944-09-01,-0.0004425094267847629,0.0025050760000148247,0.003745314621195715,0.04,0.10581199183669733,0.000749062924239143,-0.001910672758293483,0.0010256539047239573
Carhart,1944-10-01,-0.00041914734871647234,0.002382194122309272,0.0035122802745693243,0.08,0.08969368482497715,0.0007024560549138649,-0.0017959612163476475,0.0009576665189147029
Carhart,1944-11-01,-0.00045159472318120403,0.002339504145446132,0.0035745504928770414,0.04,0.09889323035846635,0.0007149100985754083,-0.0018528185163890043,0.0009496290700265963
Carhart,1944-12-01,-0.0005924640647180742,0.002476915445855757,0.003938874955068193,0.08,0.08483393415389516,0.0007877749910136386,-0.002136503047104806,0.0009515749176686576
